ElementKey,ModelId,GlobalId,ExpressId,IfcClass,Name,Description,ObjectType,PredefinedType,TypeName,Function,Block,Status,Phase,BuildingId,BuildingName,ArchicadId,Storey,StoreyCalculated,Materials,HasRepresentation
nds-main-kk-adjustment-v09|21pIJmWOX0OfTFtddMoTaJ,nds-main-kk-adjustment-v09,21pIJmWOX0OfTFtddMoTaJ,3591,IfcSpace,BYDLENÍ,,,,Bydlení,BYDLENÍ,K,Existing,Etapa 1,00tMo7QcxqWdIGvc4sMN2A,Building,K.1.2,0. Story,2,,True
nds-main-kk-adjustment-v09|1YTl2QrRYrHB4MnkGJHW6O,nds-main-kk-adjustment-v09,1YTl2QrRYrHB4MnkGJHW6O,3625,IfcSpace,PARKOVÁNÍ,,,,Parkování,PARKOVÁNÍ,E,Existing,Etapa 3,00tMo7QcxqWdIGvc4sMN2A,Building,E.3.1,0. Story,7,,True
nds-main-kk-adjustment-v09|0vQYGq2IbNJgeVCUp_URIX,nds-main-kk-adjustment-v09,0vQYGq2IbNJgeVCUp_URIX,3633,IfcSpace,PARKOVÁNÍ,,,,Parkování,PARKOVÁNÍ,E,Existing,Etapa 3,00tMo7QcxqWdIGvc4sMN2A,Building,E.3.1,0. Story,6,,True
nds-main-kk-adjustment-v09|1EtfQ2aW9BWvKr2L9FFSPA,nds-main-kk-adjustment-v09,1EtfQ2aW9BWvKr2L9FFSPA,3639,IfcSpace,INV,,,,polyfunkční dům 2,INV,J,New,Etapa 1,00tMo7QcxqWdIGvc4sMN2A,Building,J.1.1,0. Story,8,,True
nds-main-kk-adjustment-v09|1su$8TkkH7vBjNHS76lEvf,nds-main-kk-adjustment-v09,1su$8TkkH7vBjNHS76lEvf,3642,IfcSpace,BYDLENÍ,,,,Bydlení,BYDLENÍ,B,Existing,Etapa 3,00tMo7QcxqWdIGvc4sMN2A,Building,B.3.3,0. Story,1,,True
nds-main-kk-adjustment-v09|09lejJb_v2yP9dDXa8bp$c,nds-main-kk-adjustment-v09,09lejJb_v2yP9dDXa8bp$c,3648,IfcSpace,BYDLENÍ,,,,Bydlení,BYDLENÍ,A,Existing,Etapa 3,00tMo7QcxqWdIGvc4sMN2A,Building,A.3.8,0. Story,1,,True
nds-main-kk-adjustment-v09|2NLBaOPLD5DwfVC7kem18m,nds-main-kk-adjustment-v09,2NLBaOPLD5DwfVC7kem18m,3653,IfcSpace,BYDLENÍ,,,,Bydlení,BYDLENÍ,A,Existing,Etapa 3,00tMo7QcxqWdIGvc4sMN2A,Building,A.3.6,0. Story,1,,True
nds-main-kk-adjustment-v09|3Ph0Y_Y0b1axOyXDI8aJc2,nds-main-kk-adjustment-v09,3Ph0Y_Y0b1axOyXDI8aJc2,3656,IfcSpace,BYDLENÍ,,,,Bydlení,BYDLENÍ,B,Existing,Etapa 3,00tMo7QcxqWdIGvc4sMN2A,Building,B.3.1,0. Story,1,,True
nds-main-kk-adjustment-v09|0lsmOPXBrANw29ZoPMasVP,nds-main-kk-adjustment-v09,0lsmOPXBrANw29ZoPMasVP,3659,IfcSpace,BYDLENÍ,,,,Bydlení,BYDLENÍ,B,Existing,Etapa 3,00tMo7QcxqWdIGvc4sMN2A,Building,B.3.12,0. Story,1,,True
nds-main-kk-adjustment-v09|11M4765CvFvhTA8b9WRn2i,nds-main-kk-adjustment-v09,11M4765CvFvhTA8b9WRn2i,3663,IfcSpace,BYDLENÍ,,,,Bydlení,BYDLENÍ,A,Existing,Etapa 3,00tMo7QcxqWdIGvc4sMN2A,Building,A.3.7,0. Story,1,,True
nds-main-kk-adjustment-v09|1BQgVuUwL8nOFD6HYNWf_b,nds-main-kk-adjustment-v09,1BQgVuUwL8nOFD6HYNWf_b,3662,IfcSpace,BYDLENÍ,,,,Bydlení,BYDLENÍ,B,Existing,Etapa 3,00tMo7QcxqWdIGvc4sMN2A,Building,B.3.9,0. Story,1,,True
nds-main-kk-adjustment-v09|0byVMogA5EiQ7FMFw34Hci,nds-main-kk-adjustment-v09,0byVMogA5EiQ7FMFw34Hci,3666,IfcSpace,BYDLENÍ,,,,Bydlení,BYDLENÍ,B,Existing,Etapa 3,00tMo7QcxqWdIGvc4sMN2A,Building,B.3.2,0. Story,1,,True
nds-main-kk-adjustment-v09|3qiJ5UyQ91Vuz9aCRn$Zox,nds-main-kk-adjustment-v09,3qiJ5UyQ91Vuz9aCRn$Zox,3669,IfcSpace,RETAIL,,,,Retail,RETAIL,B,Existing,Etapa 3,00tMo7QcxqWdIGvc4sMN2A,Building,B.3.5,0. Story,1,,True
nds-main-kk-adjustment-v09|3vLnqKEBT1HvoLPn4JDfFf,nds-main-kk-adjustment-v09,3vLnqKEBT1HvoLPn4JDfFf,3675,IfcSpace,BYDLENÍ,,,,Bydlení,BYDLENÍ,B,Existing,Etapa 3,00tMo7QcxqWdIGvc4sMN2A,Building,B.3.7,0. Story,2,,True
nds-main-kk-adjustment-v09|1qz9WZ8Jr7Iu_ssh5dyjnH,nds-main-kk-adjustment-v09,1qz9WZ8Jr7Iu_ssh5dyjnH,3672,IfcSpace,BYDLENÍ,,,,Bydlení,BYDLENÍ,D,Existing,Etapa 3,00tMo7QcxqWdIGvc4sMN2A,Building,D.3.6,0. Story,2,,True
nds-main-kk-adjustment-v09|2zq06ekffD691WjFSH9Z1u,nds-main-kk-adjustment-v09,2zq06ekffD691WjFSH9Z1u,3645,IfcSpace,BYDLENÍ,,,,Bydlení,BYDLENÍ,B,Existing,Etapa 3,00tMo7QcxqWdIGvc4sMN2A,Building,B.3.4,0. Story,1,,True
