ElementKey,ModelId,GlobalId,ExpressId,IfcClass,Name,Description,ObjectType,PredefinedType,TypeName,Function,Materials,HasRepresentation
nds-main-v01|3VRcWHvw18SQX7enGxdJbE,nds-main-v01,3VRcWHvw18SQX7enGxdJbE,7377,IfcBuildingElementProxy,A,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
nds-main-v01|0KGFMYo1vBsAkOda0hjyfU,nds-main-v01,0KGFMYo1vBsAkOda0hjyfU,7387,IfcBuildingElementProxy,A,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
nds-main-v01|1w6VQhWwLBRe1jpuk5bmQW,nds-main-v01,1w6VQhWwLBRe1jpuk5bmQW,7386,IfcBuildingElementProxy,A,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
nds-main-v01|0oXCrUeDHD9ATGxFJQRwwT,nds-main-v01,0oXCrUeDHD9ATGxFJQRwwT,7404,IfcBuildingElementProxy,B,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
nds-main-v01|0BW0VqYMf3AP4Olp21M46U,nds-main-v01,0BW0VqYMf3AP4Olp21M46U,7413,IfcBuildingElementProxy,A,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
nds-main-v01|0$iHuxZbv2pAmB$4LT_lHN,nds-main-v01,0$iHuxZbv2pAmB$4LT_lHN,7430,IfcBuildingElementProxy,E,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
nds-main-v01|0Yy5vFO2fCkeLFdn1moOBJ,nds-main-v01,0Yy5vFO2fCkeLFdn1moOBJ,7439,IfcBuildingElementProxy,A,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
nds-main-v01|3mM0LZKYX55eowrGSfjuTA,nds-main-v01,3mM0LZKYX55eowrGSfjuTA,7448,IfcBuildingElementProxy,A,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
nds-main-v01|1fNU4gz6b8Cg9cbk_LLRe4,nds-main-v01,1fNU4gz6b8Cg9cbk_LLRe4,7457,IfcBuildingElementProxy,D,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
nds-main-v01|2w6QxVJgf7eReIHDAYnzb0,nds-main-v01,2w6QxVJgf7eReIHDAYnzb0,7468,IfcBuildingElementProxy,D,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
nds-main-v01|2Z42fA5pbEQOCHg0FnBpM2,nds-main-v01,2Z42fA5pbEQOCHg0FnBpM2,7477,IfcBuildingElementProxy,D,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
nds-main-v01|0NGK03LqvCmOaxGvjcuJeq,nds-main-v01,0NGK03LqvCmOaxGvjcuJeq,7488,IfcBuildingElementProxy,B,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
nds-main-v01|2gliZQU211IOKmIZUsW0rP,nds-main-v01,2gliZQU211IOKmIZUsW0rP,7497,IfcBuildingElementProxy,E,,,NOTDEFINED,Glass,,Glass,True
nds-main-v01|2vTscDYnzE4xDLozxfEj2j,nds-main-v01,2vTscDYnzE4xDLozxfEj2j,7507,IfcBuildingElementProxy,C,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
nds-main-v01|10M8bBG_r3U9Rl$sCpS4nl,nds-main-v01,10M8bBG_r3U9Rl$sCpS4nl,7516,IfcBuildingElementProxy,C,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
nds-main-v01|3JJOQ5LyP5UhRVBAlKpu3J,nds-main-v01,3JJOQ5LyP5UhRVBAlKpu3J,7525,IfcBuildingElementProxy,C,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
nds-main-v01|0WLCLn4Ij6wOoet4qw4Tqo,nds-main-v01,0WLCLn4Ij6wOoet4qw4Tqo,7534,IfcBuildingElementProxy,C,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
nds-main-v01|1gAYUnl516shY5hoz5ZsRv,nds-main-v01,1gAYUnl516shY5hoz5ZsRv,7543,IfcBuildingElementProxy,C,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
nds-main-v01|0e76O1KG59F8dp8JP95Vc0,nds-main-v01,0e76O1KG59F8dp8JP95Vc0,7561,IfcBuildingElementProxy,C,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
